,x,y,target
0,-31.615510940551758,-25.296205520629883,0.0
1,-17.212791442871094,-12.543370246887207,0.0
2,-27.641698837280273,-27.702856063842773,0.0
3,-19.924062728881836,-29.720590591430664,0.0
4,-17.96116828918457,-15.166669845581055,0.0
5,-15.439806938171387,-28.49686050415039,0.0
6,-29.20709800720215,-12.813154220581055,0.0
7,-21.957658767700195,-10.871162414550781,0.0
8,-26.652603149414062,-11.586050987243652,0.0
9,-32.55815505981445,-22.101177215576172,0.0
10,-14.230026245117188,-16.38246726989746,0.0
11,-24.383583068847656,-27.418655395507812,0.0
12,-20.50135040283203,-26.756128311157227,0.0
13,-15.943605422973633,-18.517854690551758,0.0
14,-13.204257011413574,-26.859989166259766,0.0
15,-29.453065872192383,-16.062612533569336,0.0
16,-22.63566780090332,-13.932211875915527,0.0
17,-26.04972267150879,-14.444600105285645,0.0
18,-27.53992462158203,-22.308799743652344,0.0
19,-12.75361442565918,-19.565282821655273,0.0
20,-23.81400489807129,-22.966230392456055,0.0
21,-20.072996139526367,-23.682958602905273,0.0
22,-15.158876419067383,-21.260339736938477,0.0
23,-16.000574111938477,-25.534189224243164,0.0
24,-27.045114517211914,-18.785659790039062,0.0
25,-21.113332748413086,-18.484865188598633,0.0
26,-24.031869888305664,-19.619314193725586,0.0
27,-31.226224899291992,-25.105825424194336,0.0
28,-16.83938980102539,-12.71772575378418,0.0
29,-27.599655151367188,-27.272153854370117,0.0
30,-19.494163513183594,-29.684125900268555,0.0
31,-17.830942153930664,-15.548396110534668,0.0
32,-15.306294441223145,-28.873323440551758,0.0
33,-29.57916831970215,-12.973125457763672,0.0
34,-21.596494674682617,-11.066584587097168,0.0
35,-26.27693748474121,-11.43267822265625,0.0
36,-32.20368194580078,-21.849985122680664,0.0
37,-14.027992248535156,-16.04277992248535,0.0
38,-24.4471435546875,-26.998884201049805,0.0
39,-20.08831787109375,-26.70189094543457,0.0
40,-16.341899871826172,-18.63504409790039,0.0
41,-13.086886405944824,-26.480432510375977,0.0
42,-29.819551467895508,-16.278169631958008,0.0
43,-22.27912139892578,-14.138249397277832,0.0
44,-25.790523529052734,-14.75011920928955,0.0
45,-27.941375732421875,-22.29438591003418,0.0
46,-12.560855865478516,-19.20408821105957,0.0
47,-24.16619300842285,-23.178171157836914,0.0
48,-19.65679168701172,-23.703969955444336,0.0
49,-15.582180976867676,-21.30447769165039,0.0
50,-15.906144142150879,-25.136425018310547,0.0
51,-27.425931930541992,-18.740564346313477,0.0
52,-21.231828689575195,-18.077312469482422,0.0
53,-24.162809371948242,-19.22246551513672,0.0
54,-30.703744888305664,-24.853700637817383,0.0
55,-16.306636810302734,-12.9522705078125,0.0
56,-27.549617767333984,-26.686870574951172,0.0
57,-18.907712936401367,-29.676185607910156,0.0
58,-17.72878074645996,-16.09375,0.0
59,-15.117711067199707,-29.41759490966797,0.0
60,-30.13327980041504,-13.145346641540527,0.0
61,-21.060638427734375,-11.306410789489746,0.0
62,-25.77596664428711,-11.153526306152344,0.0
63,-31.767356872558594,-21.46514892578125,0.0
